time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.time_ref.secs,.time_ref.nsecs,.source
2018/12/16/17:22:06.841559,1028,1545002525,821489634,,1545002542,0,
2018/12/16/17:22:07.841037,1029,1545002526,841179821,,1545002543,0,
2018/12/16/17:22:08.852216,1030,1545002527,840843529,,1545002544,0,
2018/12/16/17:22:09.876618,1031,1545002528,852018867,,1545002545,0,
2018/12/16/17:22:10.880934,1032,1545002529,876160722,,1545002546,0,
2018/12/16/17:22:11.892796,1033,1545002530,880707307,,1545002547,0,
2018/12/16/17:22:12.900999,1034,1545002531,892557182,,1545002548,0,
2018/12/16/17:22:13.912303,1035,1545002532,900771747,,1545002549,0,
2018/12/16/17:22:14.920965,1036,1545002533,912059952,,1545002550,0,
2018/12/16/17:22:15.931347,1037,1545002534,920739756,,1545002551,0,
2018/12/16/17:22:16.941252,1038,1545002535,931108876,,1545002552,0,
2018/12/16/17:22:17.951185,1039,1545002536,941006442,,1545002553,0,
2018/12/16/17:22:18.112000,1040,1545002537,950935481,,1545002554,0,
2018/12/16/17:22:19.971829,1041,1545002538,961629257,,1545002555,0,
2018/12/16/17:22:20.132646,1042,1545002539,971316099,,1545002556,0,
2018/12/16/17:22:21.111961,1043,1545002540,981332628,,1545002557,0,
2018/12/16/17:22:22.141286,1044,1545002541,992399557,,1545002558,0,
2018/12/16/17:22:23.131627,1045,1545002543,11442559,,1545002559,0,
2018/12/16/17:22:24.111187,1046,1545002544,21017058,,1545002560,0,
2018/12/16/17:22:25.141307,1047,1545002545,30945135,,1545002561,0,
2018/12/16/17:22:26.131335,1048,1545002546,40781750,,1545002562,0,
2018/12/16/17:22:27.112424,1049,1545002547,51156859,,1545002563,0,
2018/12/16/17:22:28.141025,1050,1545002548,61593342,,1545002564,0,
2018/12/16/17:22:29.131257,1051,1545002549,71005289,,1545002565,0,
2018/12/16/17:22:30.111237,1052,1545002550,81411812,,1545002566,0,
