time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z
2018/12/16/17:23:04.140771,1085,1545002583,430977058,,3.57592645808,0.053053829121,0.0,0.0,0.0,0.0
2018/12/16/17:23:05.131396,1086,1545002584,440749778,,4.02334964381,0.00912870643661,0.0,0.0,0.0,0.0
2018/12/16/17:23:06.110900,1087,1545002585,460670967,,4.02310109783,0.0456425922906,0.0,0.0,0.0,0.0
2018/12/16/17:23:07.140759,1088,1545002586,470726045,,4.46981111908,0.0725583887791,0.0,0.0,0.0,0.0
2018/12/16/17:23:08.130941,1089,1545002587,480761229,,4.91710379167,0.0575017870623,0.0,0.0,0.0,0.0
2018/12/16/17:23:09.111514,1090,1545002588,491119877,,5.36440646504,0.0280882232544,0.0,0.0,0.0,0.0
2018/12/16/17:23:10.140978,1091,1545002589,500630964,,5.36447182943,0.00936277911229,0.0,0.0,0.0,0.0
2018/12/16/17:23:11.130994,1092,1545002590,510727010,,5.36447705859,0.0056176692927,0.0,0.0,0.0,0.0
2018/12/16/17:23:12.111524,1093,1545002591,520731850,,4.91713322551,0.0549271897729,0.0,0.0,0.0,0.0
2018/12/16/17:23:13.148632,1094,1545002592,530981123,,4.91619369343,0.110705565628,0.0,0.0,0.0,0.0
2018/12/16/17:23:14.131217,1095,1545002593,542568739,,4.43755205852,0.540932424514,0.0,0.0,0.0,0.0
2018/12/16/17:23:15.110988,1096,1545002594,560534495,,4.37091856392,0.937841707088,0.0,0.0,0.0,0.0
2018/12/16/17:23:16.142642,1097,1545002595,571040270,,4.83773460396,0.881782317374,0.0,0.0,0.0,0.0
2018/12/16/17:23:17.131237,1098,1545002596,580564062,,5.34067224787,0.504842164631,0.0,0.0,0.0,0.0
2018/12/16/17:23:18.111061,1099,1545002597,592281262,,5.80323382506,0.310228757667,0.0,0.0,0.0,0.0
2018/12/16/17:23:19.143279,1100,1545002598,600593467,,5.80646469568,-0.242347783588,0.0,0.0,0.0,0.0
2018/12/16/17:23:20.131376,1101,1545002599,610800927,,5.26048772348,-1.05114917187,0.0,0.0,0.0,0.0
2018/12/16/17:23:21.111108,1102,1545002600,630868423,,5.69826467382,-1.14172869696,0.0,0.0,0.0,0.0
2018/12/16/17:23:22.142856,1103,1545002601,630845087,,5.79122296775,-0.485284708394,0.0,0.0,0.0,0.0
2018/12/16/17:23:23.131041,1104,1545002602,641207906,,5.8112424207,-0.0567999844437,0.0,0.0,0.0,0.0
2018/12/16/17:23:24.671017,1105,1545002603,650870672,,5.81119064061,0.0618712278658,0.0,0.0,0.0,0.0
2018/12/16/17:23:25.680845,1106,1545002604,670795950,,5.81145060476,0.0284003313496,0.0,0.0,0.0,0.0
2018/12/16/17:23:26.691037,1107,1545002605,680584494,,5.81148804629,0.0192716948028,0.0,0.0,0.0,0.0
2018/12/16/17:23:27.700843,1108,1545002606,690857118,,5.81151778714,0.00507150728358,0.0,0.0,0.0,0.0
2018/12/16/17:23:28.711133,1109,1545002607,700607760,,5.81151114855,0.010143010705,0.0,0.0,0.0,0.0
2018/12/16/17:23:29.720945,1110,1545002608,710881392,,5.80952853724,0.15212785863,0.0,0.0,0.0,0.0
2018/12/16/17:23:30.731086,1111,1545002609,720693939,,4.81957464737,0.976174355347,0.0,0.0,0.0,0.0
2018/12/16/17:23:31.741319,1112,1545002610,730841762,,2.91804762754,2.06762249596,0.0,0.0,0.0,0.0
2018/12/16/17:23:32.751085,1113,1545002611,741108298,,1.44639385816,2.77494831041,0.0,0.0,0.0,0.0
